#{"t_start": 1668598918.7224889, "env_id": null}
r,l,t
1.78,9,402.862302
2.08,6,403.153337
1.88,8,403.517741
2.08,6,403.81237
2.08,6,404.097893
2.08,6,404.392448
1.78,9,404.796879
1.78,9,405.231879
1.98,7,405.583818
1.98,7,405.936787
2.08,6,406.243429
1.18,15,406.829075
2.08,6,407.139439
1.98,7,407.471642
2.08,6,407.764662
0.98,17,408.428778
1.48,12,408.914516
1.88,8,409.284824
2.08,6,409.589701
2.08,6,409.88403
2.08,6,410.183479
1.98,7,410.516436
2.08,6,410.81907
2.08,6,411.11552
2.08,6,411.417356
1.98,7,411.756762
2.08,6,412.054477
1.68,10,412.481687
1.58,11,412.972463
1.78,9,413.380884
2.08,6,413.69016
2.08,6,413.992991
1.88,8,414.354833
2.08,6,414.657219
1.68,10,415.076904
1.08,16,415.715957
1.28,14,416.300537
0.98,17,416.964466
2.08,6,417.26814
1.88,8,417.616972
1.78,9,418.004176
1.28,14,418.548217
2.08,6,418.853024
2.08,6,419.144157
2.08,6,419.432625
2.08,6,419.725986
1.78,9,420.118251
1.88,8,420.480815
1.98,7,420.823187
2.08,6,421.12906
2.08,6,421.431322
2.08,6,421.731242
1.58,11,422.17758
1.68,10,422.609837
1.38,13,423.139334
0.38,23,423.994634
1.48,12,424.467661
0.38,23,425.325027
1.38,13,425.839358
1.38,13,426.381383
1.88,8,426.75189
1.48,12,427.260748
1.28,14,427.810172
1.68,10,428.227886
2.08,6,428.529163
1.38,13,429.070044
2.08,6,429.373051
2.08,6,429.689048
2.08,6,429.995757
-2.1,21,430.76225
1.88,8,431.142004
2.08,6,431.436756
1.18,15,432.045249
2.08,6,432.334216
1.68,10,432.764263
1.28,14,433.340371
1.68,10,433.779364
1.68,10,434.210891
1.88,8,434.577091
1.88,8,434.985069
1.68,10,435.408576
2.08,6,435.704376
2.08,6,436.022785
2.08,6,436.299927
1.78,9,436.689012
1.98,7,437.017642
1.98,7,437.338039
2.08,6,437.645189
1.38,13,438.140104
2.08,6,438.438104
1.88,8,438.815201
2.08,6,439.117357
2.08,6,439.415611
1.48,12,439.902706
2.08,6,440.20305
0.78,19,440.939831
1.48,12,441.430111
1.78,9,441.823543
1.98,7,442.16241
1.78,9,442.551791
1.78,9,442.95412
0.88,18,443.648902
2.08,6,443.955081
0.58,21,444.771275
1.48,12,445.267575
2.08,6,445.571662
